Magnitude,Depth_km,Duration_sec,Building_Age,Building_Material,Floors,Soil_Type,Damage_Index,Damage_Category
6.59,102.58,75.93,49,Concrete,24,Hard Soil,0.92,Destructive
4.02,23.1,76.35,60,Steel,44,Soft Soil,0.98,Destructive
4.21,10.92,12.82,28,Brick,17,Hard Soil,0.997,Destructive
7.37,22.5,85.45,25,Brick,11,Hard Soil,0.914,Destructive
8.07,134.38,95.86,29,Wood,3,Rock,0.971,Destructive
4.73,46.72,58.83,34,Brick,3,Rock,0.953,Destructive
4.27,208.96,47.99,19,Steel,33,Rock,0.993,Destructive
5.59,232.31,82.68,54,Steel,36,Soft Soil,0.903,Destructive
6.81,161.88,53.16,83,Steel,1,Soft Soil,0.901,Destructive
6.47,133.81,60.15,36,Wood,13,Soft Soil,0.939,Destructive
4.77,269.08,72.71,95,Concrete,3,Hard Soil,0.906,Destructive
4.48,47.19,112.29,4,Concrete,7,Rock,0.95,Destructive
6.88,151.37,59.07,36,Brick,31,Soft Soil,0.965,Destructive
6.1,217.72,63.65,61,Concrete,28,Rock,0.929,Destructive
7.08,7.72,41.39,85,Brick,40,Hard Soil,0.922,Destructive
8.31,17.17,109.91,70,Wood,38,Hard Soil,0.914,Destructive
7.99,183.06,94.14,73,Brick,37,Hard Soil,0.971,Destructive
8.05,125.34,97.63,71,Steel,48,Soft Soil,0.923,Destructive
8.44,133.3,49.35,58,Concrete,43,Rock,0.966,Destructive
8.15,240.97,21.43,57,Wood,44,Rock,0.918,Destructive
4.84,120.84,66.26,9,Wood,24,Soft Soil,0.982,Destructive
7.17,111.85,118.2,95,Concrete,19,Hard Soil,0.902,Destructive
4.45,133.73,27.51,17,Concrete,21,Rock,0.943,Destructive
5.67,61.26,71.76,24,Steel,7,Hard Soil,0.927,Destructive
5.48,251.38,116.16,30,Wood,6,Hard Soil,0.908,Destructive
4.39,286.01,78.74,48,Brick,37,Hard Soil,0.944,Destructive
5.03,298.73,107.15,41,Brick,48,Soft Soil,0.935,Destructive
5.92,182.05,59.45,98,Brick,43,Hard Soil,0.996,Destructive
7.34,91.74,93.48,45,Wood,17,Hard Soil,0.99,Destructive
4.19,167.84,61.61,19,Steel,16,Hard Soil,0.935,Destructive
8.42,80.04,48.22,8,Concrete,38,Hard Soil,0.983,Destructive
5.87,269.86,44.44,18,Steel,47,Hard Soil,0.986,Destructive
4.04,251.04,6.47,23,Steel,9,Rock,0.91,Destructive
6.49,94.89,90.55,22,Brick,21,Soft Soil,0.931,Destructive
6.95,132.25,6.12,70,Brick,20,Soft Soil,0.94,Destructive
4.13,228.95,46.19,61,Steel,32,Soft Soil,0.986,Destructive
6.68,153.25,20.23,5,Concrete,30,Rock,0.999,Destructive
7.78,228.17,24.91,55,Concrete,5,Hard Soil,0.918,Destructive
5.19,111.79,22.35,41,Concrete,38,Hard Soil,0.973,Destructive
6.6,206.3,12.16,95,Brick,42,Soft Soil,0.915,Destructive
6.68,271.69,110.89,53,Brick,11,Rock,0.95,Destructive
4.57,141.08,33.93,22,Brick,43,Hard Soil,0.92,Destructive
7.86,165.86,78.88,80,Steel,27,Hard Soil,0.914,Destructive
7.67,80.62,23.85,83,Brick,47,Hard Soil,0.911,Destructive
5.04,254.15,108.11,63,Brick,41,Rock,0.912,Destructive
8.04,65.55,60.95,54,Brick,8,Hard Soil,0.902,Destructive
5.76,294.89,44.56,17,Steel,43,Soft Soil,0.968,Destructive
6.99,174.87,63.56,89,Wood,37,Hard Soil,0.982,Destructive
5.26,15.36,73.23,73,Wood,19,Hard Soil,0.913,Destructive
6.56,51.07,93.62,60,Steel,31,Soft Soil,0.904,Destructive
6.36,255.14,25.37,90,Concrete,34,Hard Soil,0.981,Destructive
7.99,107.52,8.84,11,Wood,9,Soft Soil,0.946,Destructive
7.82,129.31,89.57,92,Concrete,31,Soft Soil,0.956,Destructive
7.47,21.21,97.03,75,Concrete,3,Soft Soil,0.926,Destructive
5.04,193,57.89,70,Brick,29,Soft Soil,0.954,Destructive
6.45,225.99,78.7,61,Brick,7,Soft Soil,0.917,Destructive
4.68,265.75,67.82,33,Brick,47,Hard Soil,0.918,Destructive
8.3,51.58,75.96,61,Brick,40,Rock,0.904,Destructive
6.13,55.62,26.99,57,Wood,32,Soft Soil,0.93,Destructive
7.58,8.89,38.48,53,Brick,32,Soft Soil,0.945,Destructive
6.12,282.37,12.61,49,Steel,47,Rock,0.967,Destructive
4.53,75.8,13.08,83,Steel,18,Rock,0.923,Destructive
7.22,298.1,27.06,51,Wood,41,Rock,0.96,Destructive
6.86,18.28,58.62,16,Concrete,7,Hard Soil,0.959,Destructive
7.28,76.6,91.52,19,Concrete,34,Soft Soil,0.913,Destructive
6.6,204.7,61.9,5,Brick,3,Soft Soil,0.999,Destructive
7.61,216.65,95.22,45,Brick,20,Soft Soil,0.966,Destructive
8.08,93.87,6.44,67,Brick,11,Soft Soil,0.986,Destructive
7.6,33.68,64.35,68,Concrete,10,Soft Soil,0.919,Destructive
4.42,172.12,20.4,60,Concrete,28,Hard Soil,0.92,Destructive
7,59.26,59.22,39,Wood,26,Rock,0.92,Destructive
5.21,54.87,14.45,27,Steel,31,Rock,0.921,Destructive
5.28,137.72,41.64,34,Wood,34,Rock,0.923,Destructive
7.45,190.79,5.33,29,Brick,44,Rock,0.951,Destructive
6.61,214.48,47.73,99,Concrete,5,Hard Soil,0.962,Destructive
6.65,285.08,20.29,75,Concrete,46,Rock,0.905,Destructive
4.41,214.76,96.62,62,Brick,21,Rock,0.928,Destructive
6.21,63.15,110.18,36,Wood,39,Soft Soil,0.942,Destructive
5.4,141.01,39.93,33,Wood,45,Rock,0.901,Destructive
7.05,110.64,62.53,68,Wood,25,Rock,0.95,Destructive
6.86,186.19,66.98,14,Concrete,20,Rock,0.94,Destructive
5.77,134.02,90.97,97,Wood,14,Hard Soil,0.995,Destructive
7.66,256.69,57.43,8,Concrete,14,Soft Soil,0.907,Destructive
6.4,287.39,99.89,7,Concrete,37,Soft Soil,0.97,Destructive
4.04,168.26,61.45,86,Wood,45,Soft Soil,0.905,Destructive
6.44,159.1,8.89,10,Steel,39,Rock,0.929,Destructive
4.38,91.67,9.31,62,Wood,14,Hard Soil,0.976,Destructive
5.48,60.12,48.91,3,Steel,47,Hard Soil,0.913,Destructive
4.41,120.8,14.13,5,Brick,44,Hard Soil,0.926,Destructive
7.58,290.1,57.24,24,Wood,10,Hard Soil,0.944,Destructive
8.35,256.89,102.31,69,Brick,35,Soft Soil,0.909,Destructive
4.62,197.08,97.06,91,Wood,5,Hard Soil,0.921,Destructive
5.03,52.14,116.46,10,Steel,27,Rock,0.994,Destructive
7.47,273.14,79.38,52,Wood,18,Rock,0.99,Destructive
7.33,242.2,69.26,70,Wood,3,Soft Soil,0.948,Destructive
5.98,38.9,45.02,98,Brick,9,Hard Soil,0.913,Destructive
7.79,47.54,36.3,1,Concrete,23,Soft Soil,0.995,Destructive
7.08,30.96,84.07,65,Concrete,5,Soft Soil,0.958,Destructive
4.75,83.57,18.72,42,Brick,38,Hard Soil,0.926,Destructive
6.52,124.63,52.28,11,Concrete,33,Hard Soil,0.972,Destructive
6.53,283.31,36.11,8,Brick,7,Rock,0.957,Destructive
4.32,182.83,42.32,31,Brick,42,Hard Soil,0.949,Destructive
4.48,65.18,58.66,52,Steel,43,Hard Soil,0.9,Destructive
8.06,226.59,46.87,52,Wood,7,Soft Soil,1,Destructive
5.1,84.94,26.76,51,Brick,37,Hard Soil,0.987,Destructive
7.34,17.28,35.12,45,Concrete,27,Hard Soil,0.992,Destructive
7.64,73.51,33.75,62,Steel,39,Rock,0.918,Destructive
7.19,150.06,58.35,3,Brick,48,Rock,0.962,Destructive
4.43,154.41,62.32,55,Steel,23,Rock,0.93,Destructive
5.06,46.27,66.6,39,Brick,23,Hard Soil,0.997,Destructive
6.7,38.5,73.12,35,Concrete,48,Rock,0.942,Destructive
8.37,158.43,59.7,77,Concrete,9,Soft Soil,0.96,Destructive
5.89,227.34,7.73,44,Wood,43,Hard Soil,0.96,Destructive
8.47,146.73,11.87,50,Wood,12,Rock,0.933,Destructive
8.35,87.96,81.53,20,Brick,33,Hard Soil,0.934,Destructive
6.61,248.1,113.38,28,Steel,9,Soft Soil,0.91,Destructive
6.51,275.2,60.29,41,Steel,39,Hard Soil,0.979,Destructive
6.63,293.08,57.25,22,Steel,11,Hard Soil,0.966,Destructive
4.24,225.24,62.13,32,Brick,13,Rock,0.907,Destructive
5.46,218.59,51.84,5,Wood,27,Hard Soil,0.906,Destructive
4.34,164.37,11.86,51,Brick,31,Rock,0.964,Destructive
5.64,183.89,93.87,72,Concrete,46,Rock,0.972,Destructive
7.69,283.49,58.56,51,Brick,6,Rock,0.994,Destructive
7.26,279.62,96.9,86,Steel,12,Rock,0.933,Destructive
4.69,227.97,40.44,33,Brick,20,Hard Soil,0.903,Destructive
7.26,142.5,20.05,14,Steel,12,Rock,0.94,Destructive
7.74,298.33,94.69,29,Wood,5,Hard Soil,0.584,Heavy
4.77,160.79,111.99,87,Wood,15,Hard Soil,0.542,Moderate to Heavy
4.01,133.72,70.03,32,Brick,26,Hard Soil,0.401,Moderate
6.02,103.6,56.19,88,Concrete,10,Hard Soil,0.503,Moderate to Heavy
5.52,197.75,112.72,98,Brick,12,Hard Soil,0.586,Heavy
6.99,259.29,11.33,88,Steel,37,Soft Soil,0.68,Very Heavy
6.46,32.59,70.39,42,Steel,2,Rock,0.486,Moderate to Heavy
7.36,287.02,54.45,30,Wood,15,Hard Soil,0.519,Moderate to Heavy
5.25,225.82,39.37,56,Steel,11,Rock,0.406,Moderate
7.41,260.76,22.36,25,Concrete,21,Hard Soil,0.475,Moderate to Heavy
5.12,201.13,51.49,32,Brick,13,Soft Soil,0.55,Moderate to Heavy
5.82,155.92,12.32,26,Brick,43,Hard Soil,0.424,Moderate
7.4,293.87,103.32,87,Steel,33,Hard Soil,0.695,Very Heavy
4.87,261.45,113.56,98,Concrete,39,Soft Soil,0.759,Very Heavy
4.5,148.48,27.79,89,Concrete,3,Rock,0.366,Moderate
4.36,231.22,68.74,49,Wood,43,Soft Soil,0.618,Heavy
7.21,187.79,21.82,1,Steel,39,Soft Soil,0.626,Heavy
6.68,50.06,79.76,95,Wood,6,Hard Soil,0.574,Heavy
6.84,53.12,76.22,40,Steel,35,Hard Soil,0.579,Heavy
4.21,127.42,98.43,76,Brick,34,Hard Soil,0.519,Moderate to Heavy
6.63,288.88,110.54,86,Steel,21,Rock,0.644,Heavy
6.04,240.63,106.54,52,Brick,44,Soft Soil,0.77,Very Heavy
8.17,152.08,14.71,53,Wood,44,Rock,0.574,Heavy
6.12,255.58,9.14,95,Concrete,36,Rock,0.488,Moderate to Heavy
8.37,56.74,119.21,51,Steel,41,Soft Soil,0.9,Destructive
8.29,129.41,91.84,78,Wood,27,Soft Soil,0.85,Severe
7.57,281.44,69.85,31,Wood,25,Hard Soil,0.576,Heavy
7.53,247.28,21.26,99,Steel,47,Rock,0.605,Heavy
5.41,87.33,65.56,57,Concrete,15,Rock,0.467,Moderate to Heavy
7.48,11.85,44.93,35,Brick,12,Rock,0.508,Moderate to Heavy
6.73,88.92,53.21,9,Wood,4,Soft Soil,0.592,Heavy
6.5,255.54,97.45,58,Wood,28,Soft Soil,0.751,Very Heavy
6.76,101.38,106.15,1,Concrete,13,Rock,0.542,Moderate to Heavy
4.98,71.99,100.27,56,Concrete,1,Hard Soil,0.474,Moderate to Heavy
6.78,251.31,102.18,72,Concrete,47,Soft Soil,0.825,Severe
8.01,118.24,37.6,42,Wood,32,Hard Soil,0.569,Heavy
6.78,248.64,46.42,18,Concrete,33,Soft Soil,0.65,Heavy
6.11,216.68,20.65,10,Steel,5,Hard Soil,0.36,Moderate
7.21,275.18,11.02,62,Wood,44,Rock,0.529,Moderate to Heavy
7.83,46.55,52.83,91,Steel,29,Rock,0.629,Heavy
7.87,110.96,45.14,77,Wood,36,Hard Soil,0.618,Heavy
8.12,298.65,43.17,94,Wood,22,Soft Soil,0.766,Very Heavy
7.35,189.11,10.56,52,Steel,4,Rock,0.445,Moderate to Heavy
5.17,198.25,119.99,73,Brick,39,Hard Soil,0.609,Heavy
6.27,80.88,43.13,72,Brick,48,Soft Soil,0.703,Very Heavy
7.99,168.31,106.29,8,Steel,20,Hard Soil,0.625,Heavy
4.99,251.14,44.5,39,Concrete,20,Soft Soil,0.553,Moderate to Heavy
6.47,224.06,89.55,70,Wood,20,Soft Soil,0.733,Very Heavy
5.66,237.89,118.66,95,Concrete,27,Hard Soil,0.63,Heavy
4.21,151.47,69.11,24,Wood,35,Rock,0.42,Moderate
6.74,276.74,105.3,54,Concrete,21,Rock,0.609,Heavy
6.18,183.83,16.55,69,Wood,47,Hard Soil,0.5,Moderate to Heavy
6.63,213.34,35.35,29,Wood,6,Rock,0.431,Moderate
4.74,297.07,56.25,81,Wood,33,Soft Soil,0.628,Heavy
8.22,292.88,62.55,30,Wood,39,Soft Soil,0.773,Very Heavy
6.69,63.09,68.28,5,Concrete,15,Soft Soil,0.633,Heavy
6.97,176.29,94.65,82,Concrete,20,Hard Soil,0.628,Heavy
4.98,104.14,21.22,3,Steel,14,Rock,0.315,Light
4.74,163.2,26,5,Steel,13,Hard Soil,0.311,Light
7.07,17.89,34.71,91,Brick,19,Hard Soil,0.54,Moderate to Heavy
7.14,52.71,14.87,76,Concrete,39,Soft Soil,0.686,Very Heavy
7.61,220.61,78.94,91,Concrete,42,Rock,0.687,Very Heavy
6.72,124.91,87.58,61,Steel,48,Soft Soil,0.789,Severe
4.44,75.46,66.2,20,Concrete,10,Rock,0.372,Moderate
6.87,79.9,5.42,64,Brick,16,Soft Soil,0.599,Heavy
5.53,168.12,19.28,48,Steel,28,Soft Soil,0.563,Heavy
6.28,165.6,35.34,15,Steel,27,Soft Soil,0.592,Heavy
8.33,126.49,74.41,68,Steel,29,Soft Soil,0.817,Severe
6.67,169.21,106.47,56,Brick,7,Hard Soil,0.581,Heavy
5.9,130.28,109.96,5,Steel,40,Rock,0.563,Heavy
6,214.03,24.49,18,Wood,46,Soft Soil,0.601,Heavy
8.04,176.1,66.57,39,Brick,17,Rock,0.586,Heavy
6.09,123.66,20.34,85,Wood,35,Soft Soil,0.643,Heavy
8.44,187.73,105.57,75,Wood,43,Soft Soil,0.909,Destructive
7.3,203.62,44.09,6,Steel,22,Rock,0.488,Moderate to Heavy
4.71,65.76,81.6,45,Steel,30,Hard Soil,0.476,Moderate to Heavy
5.97,233.85,50.84,73,Wood,27,Hard Soil,0.51,Moderate to Heavy
8.48,299.34,55.23,94,Wood,30,Soft Soil,0.82,Severe
6.05,31.82,13.95,14,Brick,39,Rock,0.418,Moderate
4.84,149.44,18.94,5,Concrete,9,Rock,0.297,Light
5.35,247.64,102.7,7,Brick,9,Soft Soil,0.614,Heavy
5.71,224.95,47.03,85,Wood,38,Rock,0.525,Moderate to Heavy
6.49,226.01,105.33,21,Wood,3,Soft Soil,0.677,Very Heavy
8.37,198.9,38.08,62,Brick,6,Hard Soil,0.556,Heavy
5.46,91.79,9.34,25,Brick,33,Rock,0.38,Moderate
4.51,288.9,33.18,14,Brick,29,Soft Soil,0.503,Moderate to Heavy
6.62,227.35,119.89,58,Steel,45,Hard Soil,0.679,Very Heavy
6.26,239.06,97.59,60,Brick,13,Hard Soil,0.562,Heavy
5.06,141.58,68.96,60,Brick,42,Soft Soil,0.662,Heavy
6.8,294.36,86.16,54,Wood,32,Hard Soil,0.602,Heavy
6.11,178.63,82.6,87,Brick,38,Rock,0.606,Heavy
7.56,157.11,119.17,49,Wood,3,Soft Soil,0.782,Severe
6.53,132.57,118.59,83,Wood,21,Soft Soil,0.799,Severe
5.88,58.43,21.18,36,Steel,42,Rock,0.449,Moderate to Heavy
4.14,168.29,37.41,26,Concrete,22,Rock,0.339,Moderate
5.61,135.9,69.25,38,Steel,30,Rock,0.494,Moderate to Heavy
6.54,260.84,40.28,63,Wood,27,Rock,0.511,Moderate to Heavy
5.26,267.71,35.71,64,Steel,27,Soft Soil,0.591,Heavy
6,180.61,43.53,29,Brick,10,Hard Soil,0.422,Moderate
7.37,38.58,97.3,96,Steel,41,Rock,0.709,Very Heavy
8.16,284.32,105.62,87,Concrete,28,Rock,0.727,Very Heavy
4.12,228.05,118.09,26,Brick,37,Rock,0.503,Moderate to Heavy
6.93,274.66,86.15,44,Concrete,15,Soft Soil,0.714,Very Heavy
6.27,160.5,29.93,42,Brick,43,Hard Soil,0.491,Moderate to Heavy
5.93,86.85,99.62,34,Wood,31,Hard Soil,0.559,Heavy
5.29,39.25,41.24,8,Wood,9,Soft Soil,0.509,Moderate to Heavy
7.69,288.08,60.3,3,Concrete,33,Soft Soil,0.704,Very Heavy
5.28,118.18,71.23,83,Concrete,1,Soft Soil,0.618,Heavy
5.01,206.25,118.15,39,Wood,37,Soft Soil,0.71,Very Heavy
4.05,216.14,73.09,81,Brick,45,Hard Soil,0.495,Moderate to Heavy
5.43,107.89,59.61,95,Concrete,23,Soft Soil,0.662,Heavy
8.32,127.05,69,91,Wood,11,Soft Soil,0.794,Severe
7,162.29,101.83,22,Brick,11,Hard Soil,0.564,Heavy
8.29,105.69,25.56,94,Wood,46,Rock,0.643,Heavy
7.65,109.52,52.9,87,Brick,45,Rock,0.648,Heavy
4.8,291.71,30.94,38,Steel,16,Hard Soil,0.362,Moderate
4.85,201.23,106.64,62,Wood,40,Rock,0.562,Heavy
4.1,96.95,80.69,87,Wood,11,Hard Soil,0.448,Moderate to Heavy
5.7,170.15,81.74,49,Concrete,44,Soft Soil,0.708,Very Heavy
4.64,10.52,9.1,43,Wood,18,Hard Soil,0.326,Light
5.46,233.3,61.98,99,Concrete,14,Hard Soil,0.503,Moderate to Heavy
5.36,143.13,50.93,83,Concrete,32,Rock,0.5,Moderate to Heavy
6.72,172.37,73.2,90,Steel,2,Rock,0.552,Moderate to Heavy
5.21,174.46,92.37,82,Brick,5,Rock,0.506,Moderate to Heavy
5.17,59.48,28.58,1,Concrete,21,Hard Soil,0.349,Moderate
8.4,92.66,6.78,31,Steel,28,Rock,0.518,Moderate to Heavy
4.24,100.56,72.58,34,Concrete,1,Soft Soil,0.519,Moderate to Heavy
7.42,96.75,13.68,56,Wood,25,Rock,0.5,Moderate to Heavy
5.18,244.17,20.52,67,Brick,42,Soft Soil,0.594,Heavy
6.39,152.36,81.84,9,Brick,44,Soft Soil,0.703,Very Heavy
7.88,103.22,101.16,57,Steel,18,Rock,0.656,Heavy
5.83,113.03,40.62,79,Brick,17,Rock,0.472,Moderate to Heavy
7.18,291.78,77.62,46,Brick,5,Hard Soil,0.544,Moderate to Heavy
6.95,270.72,82.62,80,Concrete,49,Hard Soil,0.663,Heavy
8.17,124.2,85.7,62,Steel,15,Soft Soil,0.793,Severe
5.21,190.17,63.29,33,Brick,13,Rock,0.425,Moderate
5.28,73.54,57.51,28,Brick,20,Soft Soil,0.578,Heavy
4.77,206.36,80.15,70,Steel,17,Hard Soil,0.476,Moderate to Heavy
8.16,178.23,34.04,95,Concrete,31,Hard Soil,0.622,Heavy
6.33,93.84,100.73,49,Brick,18,Soft Soil,0.719,Very Heavy
7.77,17.97,40.8,40,Brick,31,Hard Soil,0.558,Heavy
5.96,192.51,71.34,36,Concrete,11,Rock,0.475,Moderate to Heavy
6.79,143.26,33.16,92,Steel,26,Rock,0.539,Moderate to Heavy
6.61,189.63,30.34,6,Concrete,19,Hard Soil,0.425,Moderate
7.74,257.16,67.05,84,Concrete,35,Soft Soil,0.803,Severe
7.04,60.43,104.45,66,Concrete,13,Hard Soil,0.618,Heavy
7.66,246.06,25.59,15,Steel,23,Rock,0.487,Moderate to Heavy
4.77,97.89,95.98,79,Concrete,4,Hard Soil,0.485,Moderate to Heavy
5.15,20.83,32.79,1,Wood,21,Soft Soil,0.505,Moderate to Heavy
4.32,280.32,23.4,69,Concrete,28,Soft Soil,0.53,Moderate to Heavy
7.27,156.89,91.16,80,Concrete,8,Hard Soil,0.611,Heavy
7.56,153.38,43.64,48,Steel,4,Hard Soil,0.507,Moderate to Heavy
5.11,53.18,60.2,26,Steel,26,Rock,0.434,Moderate
5.15,106.62,50.17,93,Wood,38,Rock,0.51,Moderate to Heavy
6.63,157.39,104.17,19,Brick,11,Rock,0.546,Moderate to Heavy
7.56,228.2,116.46,79,Wood,31,Hard Soil,0.713,Very Heavy
5.34,239.64,39.4,55,Steel,43,Hard Soil,0.474,Moderate to Heavy
6.64,121.04,56.33,40,Brick,21,Hard Soil,0.508,Moderate to Heavy
8.44,116.59,37.75,96,Brick,3,Soft Soil,0.737,Very Heavy
5.94,12.76,100.37,71,Concrete,30,Soft Soil,0.745,Very Heavy
7.67,45.69,13.35,76,Wood,3,Rock,0.488,Moderate to Heavy
7.49,185.53,53.18,57,Steel,24,Rock,0.568,Heavy
5.56,284.96,85.09,13,Wood,42,Soft Soil,0.667,Very Heavy
4.34,25.53,66.23,28,Brick,29,Soft Soil,0.563,Heavy
8.45,233.91,96.51,72,Brick,15,Soft Soil,0.835,Severe
4.57,41.49,99.84,17,Concrete,18,Soft Soil,0.598,Heavy
8.27,24.8,42.09,98,Concrete,39,Hard Soil,0.66,Heavy
6.97,285.38,66.45,83,Concrete,6,Soft Soil,0.704,Very Heavy
6.81,26.89,61.24,2,Brick,10,Rock,0.465,Moderate to Heavy
6.69,210.58,92.11,4,Steel,7,Hard Soil,0.506,Moderate to Heavy
7.8,10.33,92.8,76,Wood,48,Soft Soil,0.867,Severe
8,216.22,95.53,12,Concrete,13,Hard Soil,0.597,Heavy
6.13,222.8,70.31,18,Concrete,32,Soft Soil,0.656,Heavy
7.07,18.05,106.6,7,Wood,7,Rock,0.552,Moderate to Heavy
5.35,52.01,48.93,5,Brick,19,Rock,0.392,Moderate
8.26,102.42,76.26,8,Steel,18,Rock,0.584,Heavy
4.93,195.84,24.64,64,Wood,18,Hard Soil,0.388,Moderate
8.24,60.75,118.9,67,Wood,3,Rock,0.683,Very Heavy
7.46,292.53,70,64,Concrete,39,Soft Soil,0.782,Severe
4.63,20.47,53.15,32,Concrete,13,Hard Soil,0.378,Moderate
5.88,204.25,99.25,24,Brick,46,Hard Soil,0.575,Heavy
7.95,181.8,117.62,73,Concrete,8,Rock,0.683,Very Heavy
6.97,254.58,86.22,42,Wood,24,Soft Soil,0.732,Very Heavy
8.01,142.58,119.99,82,Concrete,8,Soft Soil,0.848,Severe
5.2,216.6,15.34,65,Wood,29,Soft Soil,0.559,Heavy
